全国地方公共団体コード,都道府県名,市区町村名,公表_年月日,0歳,1-4歳,5-9歳,10-19歳,20-29歳,30-39歳,40-49歳,50-59歳,60-64歳,65-69歳,70-79歳,80-89歳,90歳以上,不明
130001,東京都,,2022-09-27,22,222,382,742,857,875,900,701,209,90,152,77,18,0
130001,東京都,,2022-09-28,38,190,331,744,856,915,928,682,221,96,201,101,24,0
130001,東京都,,2022-09-29,34,146,292,663,958,830,848,643,186,78,211,113,29,1
130001,東京都,,2022-09-30,19,120,251,592,867,768,807,588,188,86,161,81,24,6
130001,東京都,,2022-10-01,27,153,259,487,669,579,618,502,160,93,160,102,24,1
130001,東京都,,2022-10-02,16,109,243,444,465,435,462,385,119,61,105,55,18,5
130001,東京都,,2022-10-03,9,41,126,240,321,268,297,231,53,24,38,16,9,0
130001,東京都,,2022-10-04,31,181,297,536,689,688,773,583,180,70,172,82,26,2
130001,東京都,,2022-10-05,23,162,291,496,689,672,721,517,147,57,190,80,22,0
130001,東京都,,2022-10-06,11,116,174,422,637,637,623,531,133,56,146,61,21,12
130001,東京都,,2022-10-07,22,86,167,384,525,547,533,395,104,54,102,61,36,0
130001,東京都,,2022-10-08,21,90,137,347,458,432,442,353,111,44,98,57,15,0
130001,東京都,,2022-10-09,15,61,127,336,378,368,384,303,90,32,75,56,17,0
130001,東京都,,2022-10-10,10,43,87,172,244,219,267,183,48,24,44,23,8,0
130001,東京都,,2022-10-11,9,42,77,209,267,283,265,247,50,15,20,13,7,0
130001,東京都,,2022-10-12,22,197,317,629,769,766,838,646,197,76,180,115,38,0
130001,東京都,,2022-10-13,21,133,242,559,789,773,748,571,185,72,146,82,15,2
130001,東京都,,2022-10-14,25,90,169,455,658,626,618,408,132,72,138,83,20,1
130001,東京都,,2022-10-15,21,92,183,395,538,474,578,468,140,84,160,78,28,0
130001,東京都,,2022-10-16,20,100,178,374,442,441,448,375,117,51,106,52,10,0
130001,東京都,,2022-10-17,9,37,77,173,264,320,296,256,56,14,50,26,6,4
130001,東京都,,2022-10-18,32,150,274,602,639,685,698,600,175,81,153,97,27,0
130001,東京都,,2022-10-19,27,136,255,540,724,684,686,560,174,74,190,106,39,9
130001,東京都,,2022-10-20,14,108,186,371,584,596,676,485,139,79,138,83,30,0
130001,東京都,,2022-10-21,11,78,161,333,497,478,500,394,128,58,108,76,16,2
130001,東京都,,2022-10-22,18,108,200,429,512,502,601,450,129,60,132,75,13,2
130001,東京都,,2022-10-23,15,102,169,394,407,493,461,379,112,56,122,67,28,0
130001,東京都,,2022-10-24,9,26,95,227,290,323,297,300,68,21,46,22,11,0
130001,東京都,,2022-10-25,28,144,290,614,765,733,810,636,199,83,221,127,52,0
130001,東京都,,2022-10-26,30,134,237,580,663,737,774,611,198,89,172,88,34,0
130001,東京都,,2022-10-27,21,112,203,486,670,721,668,561,158,72,142,92,35,0
130001,東京都,,2022-10-28,10,94,189,467,615,544,670,450,149,61,145,92,33,1
130001,東京都,,2022-10-29,22,118,265,591,682,650,694,562,157,71,174,105,30,0
130001,東京都,,2022-10-30,15,112,225,522,603,555,621,520,147,91,161,88,25,2
130001,東京都,,2022-10-31,10,46,100,330,343,368,375,278,80,20,42,25,2,0
130001,東京都,,2022-11-01,32,193,366,879,1026,1105,1110,896,276,105,259,165,108,0
130001,東京都,,2022-11-02,42,167,360,875,1101,1058,1085,833,241,116,238,172,58,0
130001,東京都,,2022-11-03,44,187,278,924,1223,1146,1173,907,257,99,250,147,51,0
130001,東京都,,2022-11-04,8,74,133,448,617,554,573,436,108,28,68,30,13,0
