title,pos,name,turn,speech
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,0,ども！くらげです。お願いします
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,1,お願いします
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,2,すみません、ありがとうございます！頑張っていきましょうねー
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,3,あのー、俺さ、この前初めてさ、31アイスに行ったのよ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,4,あ、31。でも31ってさ、店内カラフルだし女子高生とか多いからなんか、おじさんの俺達は入りづらいな
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,5,そうなんだよな。そう思ったんだけどさ、いざ入って食べてみたらめちゃくちゃ美味しいね！
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,6,あ、うまいか
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,7,めちゃくちゃ美味しかったんだけどさ、俺が食べたやつの名前がさ、何だったか思い出せないんだよね
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,8,ああ、もしかしてあれかな？ポッピングシャワー？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,9,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,10,オレンジソルベ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,11,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,12,ベリーベリーストロベリー？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,13,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,14,ラブポーション31？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,15,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,16,キャラメルリボン？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,17,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,18,チョコキャラメルピスタチオ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,19,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,20,ダークチェリーフォレスト？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,21,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,22,大納言小豆？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,23,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,24,バニラ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,25,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,26,チョコ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,27,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,28,ストロベリー？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,29,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,30,オペラザシンフォニー？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,31,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,32,ラズベリーホーリーナイト？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,33,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,34,チョコレートチョコチップチーズケーキ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,35,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,36,バニバニバニラ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,37,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,38,ナッツトゥユー？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,39,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,40,ちょっと待てや、おい！お前が食べた31は一体どれだよ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,41,思い出した！リッチミルクだ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,42,お前それハーゲンダッツじゃねえか！
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,43,え？あれ、ハーゲンダッツなの？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,44,そうだよ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,45,そうなんだ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,46,お前、全然違ぇよ！
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,47,違うんだ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,48,俺がどんな気持ちでベリーベリーストロベリーって言ったと思ってんの？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,49,言ってたな
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,50,たまたま俺が31アイス好きだったから良かったけど。これを機に覚えろ。全然違うんだ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,51,全然違うんだ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,52,そうだよお前
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,53,あとさ、この前俺さ、サンリオキャラクターでめちゃくちゃ可愛いキャラクター見つけてさ
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,54,男サンリオ興味ねえからな
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,55,めちゃくちゃ可愛かったんだけどさ、なんていうキャラクターだったか思い出せないんだよね
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,56,もしかして、あれかな？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,57,うん
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,58,シナモロール？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,59,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,60,クロミちゃん？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,61,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,62,キキララ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,63,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,64,ぐでたま？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,65,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,66,マイメロディ？
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,l,杉,67,違う
【M-1グランプリ2023 1stラウンド】くらげ「物忘れ」,r,渡辺,68,バッドばつ丸？
