title,turn,speech
エバース【野球肘】,0,
エバース【野球肘】,1,【関連】笑わせ方の根底にある「緊張の緩和」と「笑いの分類・サゲの分類」
エバース【野球肘】,2,【関連】お笑い ボケの種類 18種
エバース【野球肘】,3,【関連】笑いが起きる法則（フリ・オチ・フォロー）とは
エバース【野球肘】,4,
エバース【野球肘】,5,町田：どうも、町田と佐々木でエバースと申します。お願いします。あの、お前さ、
エバース【野球肘】,6,佐々木：どうしました？
エバース【野球肘】,7,町田：古傷ってあるやろ？
エバース【野球肘】,8,佐々木：古傷。
エバース【野球肘】,9,町田：いや、実は僕ね、中学の時、野球部だったんですけど、その時、練習のし過ぎで野球肘やっちゃって。
エバース【野球肘】,10,佐々木：野球肘？（言葉遊びフリ）
エバース【野球肘】,11,町田：そうで、結局それが原因で部活もやめることになって。で、未だにっすよ、まだこの年になっても痛むこととかあるんすよ。結構しんどくて。
エバース【野球肘】,12,佐々木：野球肘？（言葉遊びフリ）
エバース【野球肘】,13,町田：そう、野球肘。
エバース【野球肘】,14,佐々木：え、野球肘？（言葉遊びフリ）
エバース【野球肘】,15,町田：うん、野球肘。
エバース【野球肘】,16,佐々木：え、こうピッチャーが投げてきたボールを、こうバットの代わりに肘でこうやって打つやつ？（言葉遊び）
エバース【野球肘】,17,町田：うん、それは肘野球！俺が言ってるのは野球肘！
エバース【野球肘】,18,佐々木：肘野球。（失礼ボケフリ）
エバース【野球肘】,19,町田：肘野球は、ピッチャーが投げた弾をこうやって肘で打ち返す野球のことだ。（失礼ボケフリ）
エバース【野球肘】,20,佐々木：辛い学生時代だったんだ。（失礼ボケ）
エバース【野球肘】,21,町田：やらされてねえ！ヤンキーに「お前だけ肘で打て」とか言われてねえ！
エバース【野球肘】,22,佐々木：あ、そうなの？でも、野球肘っていう言葉、おかしくない？
エバース【野球肘】,23,町田：何が？
エバース【野球肘】,24,佐々木：だって、野球にまつわる言葉ってプロ野球とか草野球とか、後半に「野球」っていう単語がつくと思うけど。
エバース【野球肘】,25,町田：うん、それは野球がメインの話。プロがやってる野球、プロ野球。俺が言ってるのは、野球で痛めた肘、野球肘。俺の肘は野球肘です！
エバース【野球肘】,26,佐々木：俺の肘は野球肘です…イチローの前でも言える？（失礼ボケフリ）
エバース【野球肘】,27,町田：何がだよ？
エバース【野球肘】,28,佐々木：いや、その、気悪くしないで聞いて欲しいんだけど、中学で野球辞めた分際でね、その自分の肘を野球肘って呼ぶのは、いささか傲慢なんじゃない？（失礼ボケ）
エバース【野球肘】,29,町田：そういう意味で言ってねえ！俺別に、イチローとか大谷に差し置いて「俺の肘こそが野球肘だ」って言ってるわけじゃねえ！ちゃんと病名であんの。
エバース【野球肘】,30,佐々木：病名？
エバース【野球肘】,31,町田：野球で痛めた肘は野球肘、テニスで痛めた肘はテニス肘。こう名前がついてる。
エバース【野球肘】,32,佐々木：あ、なるほどね。こう、何かで痛めたら「〇〇肘」っていう名前になるんだ。
エバース【野球肘】,33,町田：そういうこと。
エバース【野球肘】,34,
エバース【野球肘】,35,佐々木：板前さんってさ、1日に何百貫ってお寿司握ってるから、肘への負担が半端じゃないっていうのはよく言うよね。
エバース【野球肘】,36,町田：うん、まあ、それは初耳だけど、負担かかるかも。
エバース【野球肘】,37,佐々木：その場合は、板前さん何肘なんの？（言葉遊びフリ）
エバース【野球肘】,38,町田：じゃあ、その場合は寿司肘だな。
エバース【野球肘】,39,佐々木：寿司肘？（言葉遊びフリ）
エバース【野球肘】,40,町田：うん、聞いたことはないけどね。
エバース【野球肘】,41,佐々木：肘寿司じゃなくて？（言葉遊び）
エバース【野球肘】,42,町田：肘寿司じゃねえ！肘寿司って何？
エバース【野球肘】,43,町田：肘寿司は、肘の上に寿司が乗ってるお寿司。これが肘寿司？
エバース【野球肘】,44,佐々木：食いてえ！
エバース【野球肘】,45,町田：食いてえってんだ。食いたくはねえだろ絶対。
エバース【野球肘】,46,佐々木：それ誰の肘なの？
エバース【野球肘】,47,町田：そんなん板前だろ！
エバース【野球肘】,48,佐々木：じゃあ、板前さんが自分でこうシャリ握って、その上に肘乗せて肘寿司って作るの？
エバース【野球肘】,49,町田：肘寿司があるとしたらそうなんじゃない？
エバース【野球肘】,50,佐々木：もうお寿司握れないじゃん。
エバース【野球肘】,51,町田：そうだよ、
エバース【野球肘】,52,佐々木：じゃあ最後のお寿司じゃん。
エバース【野球肘】,53,町田：「我が寿司人生に悔いはなし！」じゃん。
エバース【野球肘】,54,佐々木：それ、へいお待ちって出されて、これ食べんの？
エバース【野球肘】,55,町田：俺が頼んだんだったら食べるよ。肘を食べます。
エバース【野球肘】,56,佐々木：え、じゃあ板前さん肘痛めちゃうじゃん。（言葉遊びフリ）
エバース【野球肘】,57,町田：肘痛めちゃう。
エバース【野球肘】,58,佐々木：じゃあ、この場合は町田のせいで肘痛めてるから町田肘ってこと？（言葉遊びフリ）
エバース【野球肘】,59,町田：そう。
エバース【野球肘】,60,佐々木：あ、そう。
エバース【野球肘】,61,町田：それであってる。だって町田によって肘痛めてるから、町田肘で合ってる。
エバース【野球肘】,62,佐々木：え、肘町田じゃなくて？（言葉遊び）
エバース【野球肘】,63,町田：肘町田じゃねえ！
エバース【野球肘】,64,佐々木：じゃ、肘町田って何？（リアルボケフリ）
エバース【野球肘】,65,町田：肘町田は、俺の肘の写真が何百枚も並べられてて、それを引いてみた時にでっかい一枚の町田になってる。ザ・肘町田！それをTシャツにして着るんだ。（リアルボケ）
エバース【野球肘】,66,佐々木：着て～！
エバース【野球肘】,67,町田：着て～って何だよ。どうも、ありがとうございました。
エバース【野球肘】,68,
ランジャタイ【谷村新司】,0,
ランジャタイ【谷村新司】,1,【関連】笑わせ方の根底にある「緊張の緩和」と「笑いの分類・サゲの分類」
ランジャタイ【谷村新司】,2,【関連】お笑い ボケの種類 18種
ランジャタイ【谷村新司】,3,【関連】笑いが起きる法則（フリ・オチ・フォロー）とは
ランジャタイ【谷村新司】,4,
ランジャタイ【谷村新司】,5,国崎：谷村新司を知っているかい？
ランジャタイ【谷村新司】,6,伊藤：もちろん、 国民的スターね？（失礼ボケフリ）
ランジャタイ【谷村新司】,7,国崎：やつが好きでね（失礼ボケ）
ランジャタイ【谷村新司】,8,伊藤：やつって言わないで
ランジャタイ【谷村新司】,9,国崎：谷村新司さん、あの人の、あの背中に憧れて、追いかけて、なりたいと思って、やってきてるから。
ランジャタイ【谷村新司】,10,伊藤：なんで歌手やらないの？
ランジャタイ【谷村新司】,11,国崎：芸人ならなれると思って（裏切りボケ）
ランジャタイ【谷村新司】,12,伊藤：芸人じゃなれませんよ
ランジャタイ【谷村新司】,13,国崎：いいですか？今日この会場に来たら谷村新司になれると聞いてやって参りました（なりきりボケフリ）
ランジャタイ【谷村新司】,14,伊藤：間違った情報ですそれは
ランジャタイ【谷村新司】,15,国崎：何回でも言います僕は。なれると聞いてやって参りました（なりきりボケフリ）
ランジャタイ【谷村新司】,16,伊藤：情報間違ってる
ランジャタイ【谷村新司】,17,国崎：みんなはもうなれたかな 谷村新司になれたかな？（なりきりボケフリ）
ランジャタイ【谷村新司】,18,伊藤：そういうつもりで集まったメンバーじゃない
ランジャタイ【谷村新司】,19,国崎：10年間、必死に頑張ってなりたいと思ってやってきました。谷村新司。ならせていただこうと思います（なりきりボケフリ）
ランジャタイ【谷村新司】,20,伊藤：誰に言ってんの？
ランジャタイ【谷村新司】,21,
ランジャタイ【谷村新司】,22,国崎：全、谷村新司に告ぐ（なりきりボケ）
ランジャタイ【谷村新司】,23,伊藤：一人しかいない
ランジャタイ【谷村新司】,24,国崎：今日から僕が谷村新司だ（なりきりボケ）
ランジャタイ【谷村新司】,25,伊藤：どういうこと？
ランジャタイ【谷村新司】,26,国崎：ちょっと準備の方させてください。あああ。お前は誰かって聞いてるよ？お前は誰なんだ？（暴走ボケフリ）
ランジャタイ【谷村新司】,27,伊藤：自問自答？
ランジャタイ【谷村新司】,28,国崎：谷村新司だ（なりきりボケ）（暴走ボケ）
ランジャタイ【谷村新司】,29,伊藤：違う
ランジャタイ【谷村新司】,30,国崎：そうだぞ。谷村新司だぞ。谷村新司。だぞ？はっはっはっ！ちょび髭ついてるか？（なりきりボケ）（暴走ボケ）
ランジャタイ【谷村新司】,31,伊藤：ついてないよ
ランジャタイ【谷村新司】,32,国崎：ちょび髭はついてるかい？（ちょび髭だけが動く）右か左か？（暴走ボケ）（動きボケ）
ランジャタイ【谷村新司】,33,伊藤：右だよ右
ランジャタイ【谷村新司】,34,国崎：こっちだ（ちょび髭の方に顔を近づける）谷村、谷村新司（暴走ボケ）（動きボケ）
ランジャタイ【谷村新司】,35,伊藤：（ちょび髭を持たされる）
ランジャタイ【谷村新司】,36,国崎：（ちょび髭に向かって走る）谷村、あーうっ！ポウ！（暴走ボケ）（動きボケ）（なりきりボケ）
ランジャタイ【谷村新司】,37,伊藤：マイケル？
ランジャタイ【谷村新司】,38,国崎：（ちょび髭が取れることに驚く）（動きボケ）（なりきりボケ）
ランジャタイ【谷村新司】,39,伊藤：あ、びっくりした
ランジャタイ【谷村新司】,40,国崎：どーも、あしたー
モグライダー【マイケルじゃんけん】,0,
モグライダー【マイケルじゃんけん】,1,【関連】笑わせ方の根底にある「緊張の緩和」と「笑いの分類・サゲの分類」
モグライダー【マイケルじゃんけん】,2,【関連】お笑い ボケの種類 18種
モグライダー【マイケルじゃんけん】,3,【関連】笑いが起きる法則（フリ・オチ・フォロー）とは
モグライダー【マイケルじゃんけん】,4,
モグライダー【マイケルじゃんけん】,5,ともしげ：マイケルジャクソン 知ってますか？
モグライダー【マイケルじゃんけん】,6,芝：そりゃ知ってるよ。世界で一番売れたでしょあの人
モグライダー【マイケルじゃんけん】,7,ともしげ：King of コック ですね（言葉遊び）
モグライダー【マイケルじゃんけん】,8,芝：キングオブポップだよ。マイケルジャクソン。 何マイケルがどうしたの？
モグライダー【マイケルじゃんけん】,9,ともしげ：マイケルが死んでもう10年以上経ってるんですよ（動きボケ）
モグライダー【マイケルじゃんけん】,10,芝：そんな経つか。10を形で出すなよ気持ち悪いな。こうでいいだろ10なら
モグライダー【マイケルじゃんけん】,11,ともしげ：だから今の子供達はマイケルの偉大さを知らないんですよ
モグライダー【マイケルじゃんけん】,12,芝：まあ見たことない子が多いだろうね.。もったいないね
モグライダー【マイケルじゃんけん】,13,ともしげ：そういう子どもたちに偉大さを伝えるための「マイケルじゃんけん」というのを考えてきたから
モグライダー【マイケルじゃんけん】,14,芝：おう
モグライダー【マイケルじゃんけん】,15,ともしげ：一緒にやりましょう
モグライダー【マイケルじゃんけん】,16,芝：なんか良さそうじゃん。グーチョキパーがマイケルの動きになってるみたいな（なりきりボケフリ）
モグライダー【マイケルじゃんけん】,17,ともしげ：そう
モグライダー【マイケルじゃんけん】,18,
モグライダー【マイケルじゃんけん】,19,芝：楽しそう、教えてよ。マイケルのグーは？
モグライダー【マイケルじゃんけん】,20,ともしげ：ポウ！（キャラボケフリ）
モグライダー【マイケルじゃんけん】,21,芝：マイケルって言ったらポウだもんね。チョキは？
モグライダー【マイケルじゃんけん】,22,ともしげ：アァオ！（キャラボケフリ）
モグライダー【マイケルじゃんけん】,23,芝：アァオもイメージあるね。パーは？
モグライダー【マイケルじゃんけん】,24,ともしげ：ンンンアァ！（キャラボケフリ）
モグライダー【マイケルじゃんけん】,25,芝：こっちのタイプが張らない方の。癇癪持ちみたいな時あるもんね。グーチョキパーで何作ろうみたいな歌あるじゃん？ああいうので教えたら子供覚えやすいんじゃない？ちょっと歌うからやってよ。さんハイ、グーチョキパーで、グーチョキパーで（キャラボケフリ）
モグライダー【マイケルじゃんけん】,26,ともしげ：ポウ！アァオ！ンンンアァ、ポウ！アァオ！ンンンアァ（キャラボケ）
モグライダー【マイケルじゃんけん】,27,芝：やめてよやだなー。アァオ！アァーオって言ってるよ？ チョキチョーキになってるよ。パーやってないよ。パーは？パーは？
モグライダー【マイケルじゃんけん】,28,ともしげ：パァーオ（キャラボケ）
モグライダー【マイケルじゃんけん】,29,芝：パァーオなんてなかったじゃん。パーが？パーが？
モグライダー【マイケルじゃんけん】,30,ともしげ：ンンンアァ
モグライダー【マイケルじゃんけん】,31,芝：パーがグーぽいからややこいんだよ。 グーノーマルの2個出してるんだから。こっちがグーでこっちをパーにしたら？
モグライダー【マイケルじゃんけん】,32,ともしげ：あぁ、なるほどね
モグライダー【マイケルじゃんけん】,33,芝：それで行こう。さんハイ。グーチョキパーで
モグライダー【マイケルじゃんけん】,34,ともしげ：ポウ！パーン、ンンンアァ（キャラボケ）（動きボケ）
モグライダー【マイケルじゃんけん】,35,芝：くちゃくちゃじゃねえか、ずーっと
モグライダー【マイケルじゃんけん】,36,ともしげ：なに作ろう？（キャラボケ）
モグライダー【マイケルじゃんけん】,37,芝：できないよまだ何もそんなんじゃ
モグライダー【マイケルじゃんけん】,38,ともしげ：なに作ろう？右手がポウ！で左手がアァオ！でカタツムリ（キャラボケ）（動きボケ）
モグライダー【マイケルじゃんけん】,39,芝：アァオ！が上に来るわけねえだろ気持ちわりー
錦鯉【深夜の通販番組】,0,
錦鯉【深夜の通販番組】,1,【関連】笑わせ方の根底にある「緊張の緩和」と「笑いの分類・サゲの分類」
