combi,neta,turn,speech
くらげ,物忘れ,0,ども！くらげです。お願いします
くらげ,物忘れ,1,お願いします
くらげ,物忘れ,2,すみません、ありがとうございます！頑張っていきましょうねー
くらげ,物忘れ,3,あのー、俺さ、この前初めてさ、31アイスに行ったのよ
くらげ,物忘れ,4,あ、31。でも31ってさ、店内カラフルだし女子高生とか多いからなんか、おじさんの俺達は入りづらいな
くらげ,物忘れ,5,そうなんだよな。そう思ったんだけどさ、いざ入って食べてみたらめちゃくちゃ美味しいね！
くらげ,物忘れ,6,あ、うまいか
くらげ,物忘れ,7,めちゃくちゃ美味しかったんだけどさ、俺が食べたやつの名前がさ、何だったか思い出せないんだよね
くらげ,物忘れ,8,ああ、もしかしてあれかな？ポッピングシャワー？
くらげ,物忘れ,9,違う
くらげ,物忘れ,10,オレンジソルベ？
くらげ,物忘れ,11,違う
くらげ,物忘れ,12,ベリーベリーストロベリー？
くらげ,物忘れ,13,違う
くらげ,物忘れ,14,ラブポーション31？
くらげ,物忘れ,15,違う
くらげ,物忘れ,16,キャラメルリボン？
くらげ,物忘れ,17,違う
くらげ,物忘れ,18,チョコキャラメルピスタチオ？
くらげ,物忘れ,19,違う
くらげ,物忘れ,20,ダークチェリーフォレスト？
くらげ,物忘れ,21,違う
くらげ,物忘れ,22,大納言小豆？
くらげ,物忘れ,23,違う
くらげ,物忘れ,24,バニラ？
くらげ,物忘れ,25,違う
くらげ,物忘れ,26,チョコ？
くらげ,物忘れ,27,違う
くらげ,物忘れ,28,ストロベリー？
くらげ,物忘れ,29,違う
くらげ,物忘れ,30,オペラザシンフォニー？
くらげ,物忘れ,31,違う
くらげ,物忘れ,32,ラズベリーホーリーナイト？
くらげ,物忘れ,33,違う
くらげ,物忘れ,34,チョコレートチョコチップチーズケーキ？
くらげ,物忘れ,35,違う
くらげ,物忘れ,36,バニバニバニラ？
くらげ,物忘れ,37,違う
くらげ,物忘れ,38,ナッツトゥユー？
くらげ,物忘れ,39,違う
くらげ,物忘れ,40,ちょっと待てや、おい！お前が食べた31は一体どれだよ？
くらげ,物忘れ,41,思い出した！リッチミルクだ
くらげ,物忘れ,42,お前それハーゲンダッツじゃねえか！
くらげ,物忘れ,43,え？あれ、ハーゲンダッツなの？
くらげ,物忘れ,44,そうだよ
くらげ,物忘れ,45,そうなんだ
くらげ,物忘れ,46,お前、全然違ぇよ！
くらげ,物忘れ,47,違うんだ
くらげ,物忘れ,48,俺がどんな気持ちでベリーベリーストロベリーって言ったと思ってんの？
くらげ,物忘れ,49,言ってたな
