combi,neta,turn,speech
リニア,メンズアイドル,0,どうもお願いします。サカイケイタとりょうへいでリニアと言います。頑張ります。お願いします。ありがとうございます。頑張ります
リニア,メンズアイドル,1,いやーケイタさ
リニア,メンズアイドル,2,はいはい
リニア,メンズアイドル,3,メンズアイドルやらない？
リニア,メンズアイドル,4,ジェスチャー合ってる？完全にお弁当箱だったけど
リニア,メンズアイドル,5,いやいいからさ。メンズアイドルってさ人気あるじゃん。だから一緒にやろうよ
リニア,メンズアイドル,6,やるわけないだろ。そんなのよー
リニア,メンズアイドル,7,BTSみたいに世界で活躍しようよ
リニア,メンズアイドル,8,それより芸人頑張ろうよ。全然売れてないんだからさ。ちゃんと売れて芸人リニアとして活躍できるように頑張りましょうよそこは
リニア,メンズアイドル,9,グループ名なんだけどさ
リニア,メンズアイドル,10,話聞いてた？いや違くて、やらないつってんのアイドルは
リニア,メンズアイドル,11,シューティングスターってどう？
リニア,メンズアイドル,12,ダッセェなそんで。ちょうどダッセェじゃねーかシューティングスターってお前よ
リニア,メンズアイドル,13,流行りそうなダンスも考えたんで
リニア,メンズアイドル,14,話進めんなよ。やらないつってんの俺は
リニア,メンズアイドル,15,ワンツー、ワンツー
リニア,メンズアイドル,16,ほぼほぼラジオ体操じゃねーかよ。流行るわけねーだろそんなのよー
リニア,メンズアイドル,17,いや海外でウケそうじゃん
リニア,メンズアイドル,18,まず海外が無理なんだよ。顔もカッコよくないんだからさ
リニア,メンズアイドル,19,顔なんかいじっちゃえばいいんだよ
リニア,メンズアイドル,20,はあー？
リニア,メンズアイドル,21,眉毛キレイにしてさ。鼻の角栓取っちゃえばいいんだよ
リニア,メンズアイドル,22,なんでお手入れ程度なんだよ。いや全取っ替えしないと無理だよアイドルは
リニア,メンズアイドル,23,そこはキャラで勝負するんだよ
リニア,メンズアイドル,24,はあ？
リニア,メンズアイドル,25,タメ口キャラで
リニア,メンズアイドル,26,キャラが弱すぎるだろ。通用しないよ。そんなキャラじゃよ
リニア,メンズアイドル,27,ああ、じゃあ冷え性キャラならどう？
リニア,メンズアイドル,28,だから弱いんだよ。つけるんだった強いキャラをつけろよ。だ、だから世界で活躍したいとか言うんだったらもう2人とも侍とかさ、そのくらいインパクトとのある強いキャラつけろよ。そうでもしないと覚えてもらえないだろ？シューティングスターを。考えたらわかるだろうがお前
リニア,メンズアイドル,29,ああ、ああじゃあ侍にして、侍っぽいダンスと歌で勝負しようよ
リニア,メンズアイドル,30,殺陣はやんないの？
リニア,メンズアイドル,31,え？
リニア,メンズアイドル,32,殺陣もやればって言ってんだよ侍なんだからよ
リニア,メンズアイドル,33,じゃあそうして着物はカッコよく黒にしよう
リニア,メンズアイドル,34,メンバーカラーで分けるのはどうかな？そしたら応援しやすいだろうお前よー
リニア,メンズアイドル,35,じゃあそうやってファンに応援しやすい、、
リニア,メンズアイドル,36,ファンじゃなくて町娘って呼ぼうぜ。その方が一体感が出るだろうがお前
リニア,メンズアイドル,37,ああじゃあ一体感出すならコール&レスポンスやろうよ
リニア,メンズアイドル,38,あ？
リニア,メンズアイドル,39,しょうへいでーす。大好きー。みたいな
リニア,メンズアイドル,40,侍が簡単に名乗るなよ。侍なんだから。自己紹介の時も名乗るほどの者でないって言うんだよお前
リニア,メンズアイドル,41,それじゃあコール&レスポンスできないじゃん。町娘なんて言えばいいの？
リニア,メンズアイドル,42,せめてお名前だけでもー。だろ。そこで名前言ったら盛り上がるだろうがお前よー
リニア,メンズアイドル,43,じゃあわざと着物はだけさそうよ
リニア,メンズアイドル,44,あ？
リニア,メンズアイドル,45,そしたら盛り上がるじゃん
リニア,メンズアイドル,46,それはアリ。そこから刀傷が見えたらカッコいいじゃねーかお前
リニア,メンズアイドル,47,ちょっと待って。刀傷って何よ
リニア,メンズアイドル,48,侍なんだから刀傷のタトゥーを入れるんだよお前
リニア,メンズアイドル,49,いやそれはやりすぎだよ
リニア,メンズアイドル,50,ほらここにブワーって入れて
リニア,メンズアイドル,51,いや怖い怖い怖い
リニア,メンズアイドル,52,お前は顔にブワーって入れるんだよお前
リニア,メンズアイドル,53,やっぱアイドルやめよ
リニア,メンズアイドル,54,あ？
リニア,メンズアイドル,55,やっぱりアイドルは違うわ。ケイタの言う通りちゃんと売れてリニアとして活躍しよ、、
リニア,メンズアイドル,56,訳のわからん事を言うな。何を言ってるんだ訳のわからん。なんだよ？リニアって。ダッセェなお前
リニア,メンズアイドル,57,じゃあわかったよ。アイドルやるのね
リニア,メンズアイドル,58,当たり前でござるよ
リニア,メンズアイドル,59,じゃあ手始めに武道館押さえよう
リニア,メンズアイドル,60,お前忙しくてなるぞ。どうもありがとうございました
オズワルド,長財布,0,はい。えーお世話になってます。伊藤と畠中でオズワルドです。お願いします。お願いします。ありがとうございます
オズワルド,長財布,1,あのー昨日さ、本当最悪な出来事があったんだよね
オズワルド,長財布,2,最悪な出来事？うん
オズワルド,長財布,3,もう財布を盗まれたに匹敵するくらい最悪
オズワルド,長財布,4,本当最悪だね
オズワルド,長財布,5,そうなのよ
オズワルド,長財布,6,何があったの？
オズワルド,長財布,7,実はさ、俺昨日財布盗まれたんだよね
オズワルド,長財布,8,へー
オズワルド,長財布,9,あれ？何か反応薄くない？
オズワルド,長財布,10,ごめん。先にワクチン打たれてたから。確かに財布盗まれるのは最悪だね
オズワルド,長財布,11,でしょ？だから今もこの世のどこかに財布を盗んでる犯人がいるって考えたら誰も信用できないんだよね
オズワルド,長財布,12,まあ気持ちはわかるよ
オズワルド,長財布,13,ああわかる
オズワルド,長財布,14,その財布はさ、ちゃんとカバンにしまってなかったの？
オズワルド,長財布,15,俺財布はね。いつもズボンの後ろポケット入れておくんだけど、気づいたらなくなってたのよ
オズワルド,長財布,16,そら盗まれちゃうよお前
オズワルド,長財布,17,え？
